,failure_mode_tm,long_text_notification,clean_text,stop_words_removed,stemmed
217,Failed,19.12.2014 01:56:05 Lucas Street (STREL91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): BODY UP ALARM NOT WORKING INTERFACE ALARM NOT WORKING    *  TEST CIRCUITS - BOOK OUT AND REPLACE FAILED *   Define work requirements; including known materials specialist labour special tools that are required:  1 HV ELECTRICIAN X 4 1 X ALARM 10366667 2 X ALARM 10366665 2 X CARD 10368990   *     *    ,body up alarm not working interface alarm not working test circuits book out and replace failed hv electrician alarm alarm card,body alarm working interface alarm working test circuits book replace failed hv electrician alarm alarm card,bodi alarm work interfac alarm work test circuit book replac fail hv electrician alarm alarm card
218,Failed,02.01.2015 05:22:47 Jamie Rayner (RAYNJI9) Phone 07 4940 4333    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Workshop horn U/S   *  Replaced with new one   Define work requirements; including known materials specialist labour special tools that are required:  1 X Electrician 2hrs   *  NIL   *  NIL    ,workshop horn replaced with new one electrician nil nil,workshop horn replaced new one electrician nil nil,workshop horn replac new one electrician nil nil
219,damaged,03.01.2015 16:15:02 Adam Wisley (WISLA9) Phone +61 7 4940 4942 replace cracked capacitor bus bars on INV 1/2 and INV 2/2. as looking at the HV cabinet the middle one and the one beside the invertex panel. 2x ge1413 (superceeded by 58b-43-00660) SAP10836847 1x 10368993 1x electrician 4 hours  Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     *     Define work requirements; including known materials specialist labour special tools that are required:     *     *     10.01.2015 08:56:37 Steven Williams (WILLST92) Job Completed confirmed by Ron Piggott,steven williams job completed confirmed by ron piggott,steven williams job completed confirmed ron piggott,steven william job complet confirm ron piggott
220,Worn,29.09.2014 15:14:01 Darren Drewett (DREWD)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): BLOWER MOTOR 2 HAS HAD A FLASHOVER 1 ELECT X 6HRS     *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,blower motor has had flashover elect,blower motor flashover elect,blower motor flashov elect
222,Worn,06.10.2014 01:28:36 Kim Ottone (OTTOK9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Found at service electrical inspection the RP contactor tips need replacing also the operating lever.     *  Need to replace parts today.     Define work requirements; including known materials specialist labour special tools that are required:  1 HV electrician 4 Hrs Book out 3 of 10366621 3 of 10366619     *     *      ,found at service electrical inspection the rp contactor tips need replacing also the operating need to replace parts hv electrician hrs book out of of,found service electrical inspection rp contactor tips need replacing also operating need replace parts hv electrician hrs book,found servic electr inspect rp contactor tip need replac also oper need replac part hv electrician hrs book
223,Worn,06.10.2014 01:28:36 Kim Ottone (OTTOK9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Found at service electrical inspection the RP contactor tips need replacing also the operating lever.     *  Need to replace parts today.     Define work requirements; including known materials specialist labour special tools that are required:  1 HV electrician 4 Hrs Book out 3 of 10366621 3 of 10366619     *     *      ,found at service electrical inspection the rp contactor tips need replacing also the operating need to replace parts hv electrician hrs book out of of,found service electrical inspection rp contactor tips need replacing also operating need replace parts hv electrician hrs book,found servic electr inspect rp contactor tip need replac also oper need replac part hv electrician hrs book
224,Failed,19.01.2015 06:22:14 Mitchell Reeks (REEKMI9) Phone 07 4940 4333  LHS High Beam Light U/S  Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Headlight U/S requires replacement.    *      Define work requirements; including known materials specialist labour special tools that are required:  1 X Auto Elec - 2Hrs  1 X 10869873 - LED High Beam Headlight     *     *      ,headlight requires auto elec led high beam headlight,headlight requires auto elec led high beam headlight,headlight requir auto elec led high beam headlight
227,damaged,01.12.2014 01:45:09 Darren Drewett (DREWD)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): LHR Reverse light broken 1 autelect x 2hrs     *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,lhr reverse light broken autelect,lhr reverse light broken autelect,lhr revers light broken autelect
229,Failed,30.01.2015 05:30:17 Jamie Rayner (RAYNJI9) Phone 07 4940 4333    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Found top LH Alt brush U/S   *  replaced with new one   Define work requirements; including known materials specialist labour special tools that are required:  1 X electrician 1hrs 1 X 10869861  *  NIL   *  NIL    ,found top lh alt brush replaced with new one electrician nil nil,found top lh alt brush replaced new one electrician nil nil,found top lh alt brush replac new one electrician nil nil
230,Damaged,29.01.2015 15:16:44 Ronald Piggott (PIGGR9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  RP2 needs repolacing has blown up GE0647 1x elect 4hrs   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,needs repolacing has blown up elect,needs repolacing blown elect,need repolac blown elect
